customer_id,segment_name,recency_days,frequency,monetary_value,R_Score,F_Score,M_Score,RFM_Score,ticket_count,avg_resolution_hours,avg_sentiment_score,reopened_tickets,return_rate,email_opens_30d,campaign_clicks_30d,engagement_score,category_diversity,loyalty_tier,avg_discount_pct
CUST00001,Discount Sensitive,167,6,2955.57,2,4,3,9,2,4.35,0.14,0,0.16666666666666666,2,0,2,3,Silver,0.36333333333333334
CUST00002,Regular Customers,34,3,1713.1,4,2,2,8,1,1,0,0,0,0,0,0,2,Silver,0.19000000000000003
CUST00003,Dormant,231,1,649.98,1,1,1,3,0,0,0,0,0,0,0,0,1,No Tier,0.47
CUST00004,Regular Customers,191,1,1604.04,2,1,2,5,0,0,0,0,0,0,0,0,1,No Tier,0.16
CUST00005,Champions,10,6,3910.43,5,4,4,13,1,37.7,-1,0,0,3,1,4,3,Gold,0.38833333333333336
CUST00006,Discount Sensitive,54,6,3987.46,3,4,4,11,2,17.6,-0.68,1,0.16666666666666666,0,0,0,3,Silver,0.36166666666666664
CUST00007,New Customers,2,2,1219.9,5,1,2,8,0,0,0,0,0,10,3,13,2,No Tier,0.2
CUST00008,Loyal Customers,44,6,3647.9900000000002,3,4,4,11,1,6,0.08,0,0,0,0,0,5,Silver,0.26
CUST00009,Discount Sensitive,28,2,803.99,4,1,1,6,0,0,0,0,0.5,0,0,0,2,No Tier,0.395
CUST00010,New Customers,8,2,1984.18,5,1,2,8,0,0,0,0,0,6,0,6,2,No Tier,0.485
CUST00011,Regular Customers,6,4,2912.49,5,3,3,11,0,0,0,0,0,0,0,0,3,Gold,0.195
CUST00012,Regular Customers,110,2,2051.63,2,1,2,5,1,18.7,-0.12,0,0,0,0,0,1,No Tier,0.29500000000000004
CUST00013,Regular Customers,2,4,2934.52,5,3,3,11,1,74.6,-1,0,0,2,0,2,3,No Tier,0.20500000000000002
CUST00014,Champions,0,13,9108.63,5,5,5,15,2,8.25,-0.245,0,0,0,0,0,6,No Tier,0.28076923076923077
CUST00015,Champions,0,5,5805.34,5,4,5,14,0,0,0,0,0,0,0,0,4,Gold,0.286
CUST00016,Dormant,275,1,478.02,1,1,1,3,1,6.4,0.37,0,0,4,1,5,1,No Tier,0.22
CUST00017,Dormant,346,3,1699.1399999999999,1,2,2,5,0,0,0,0,0,9,4,13,3,No Tier,0.26666666666666666
CUST00018,Discount Sensitive,171,1,329.21,2,1,1,4,0,0,0,0,0,4,2,6,1,Silver,0.36
CUST00019,Regular Customers,34,3,2719.02,4,2,3,9,0,0,0,0,0,3,1,4,2,Gold,0.13
CUST00020,High Value Unhappy,428,3,4487.950000000001,1,2,4,7,1,28.9,-0.95,0,0,0,0,0,3,No Tier,0.13
CUST00021,Discount Sensitive,137,2,1059.3,2,1,1,4,1,20.1,-0.85,0,0,2,0,2,2,Silver,0.435
CUST00022,Regular Customers,36,2,1332.67,4,1,2,7,0,0,0,0,0,4,1,5,2,No Tier,0.25
CUST00023,Regular Customers,41,2,772.04,4,1,1,6,0,0,0,0,0,4,1,5,2,Gold,0.245
CUST00024,New Customers,13,2,967.97,5,1,1,7,0,0,0,0,0,3,0,3,1,No Tier,0.30000000000000004
CUST00025,High Value Unhappy,225,7,4868.86,1,5,5,11,3,18,-0.226666667,1,0,6,1,7,4,No Tier,0.31142857142857144
CUST00026,High Value Unhappy,40,4,4521.43,4,3,4,11,1,20,-0.63,0,0.5,1,0,1,3,No Tier,0.1225
CUST00027,New Customers,14,2,2666,5,1,3,9,1,8,-0.13,0,0.5,5,2,7,2,No Tier,0.28500000000000003
CUST00028,Regular Customers,3,3,1853.73,5,2,2,9,1,1,0.39,0,0,3,0,3,2,No Tier,0.22999999999999998
CUST00029,Champions,11,11,7122.8,5,5,5,15,0,0,0,0,0,0,0,0,4,No Tier,0.19454545454545455
CUST00030,Champions,15,7,3884.46,5,5,4,14,2,27.65,-0.415,0,0,0,0,0,5,Gold,0.33999999999999997
CUST00031,Regular Customers,109,1,672.95,2,1,1,4,0,0,0,0,0,0,0,0,1,No Tier,0.24
CUST00032,Regular Customers,31,4,2456.0499999999997,4,3,3,10,0,0,0,0,0,0,0,0,3,Silver,0.3175
CUST00033,Champions,14,6,3548.9,5,4,4,13,2,36.349999999999994,-0.94,0,0.3333333333333333,3,0,3,5,Gold,0.36833333333333335
CUST00034,Loyal Customers,52,7,4165.39,3,5,4,12,3,17.099999999999998,-0.23,1,0,8,2,10,3,Gold,0.24714285714285714
CUST00035,Regular Customers,187,3,1369.71,2,2,2,6,0,0,0,0,0,8,0,8,3,Silver,0.24333333333333332
CUST00036,Discount Sensitive,87,4,1737.33,3,3,2,8,1,27.9,-0.17,0,0.25,0,0,0,4,Silver,0.365
CUST00037,Discount Sensitive,8,3,2021.52,5,2,2,9,0,0,0,0,0,3,0,3,2,No Tier,0.36333333333333334
CUST00038,Discount Sensitive,10,6,2761.52,5,4,3,12,1,21.9,0.13,1,0,5,0,5,5,No Tier,0.36166666666666664
CUST00039,Regular Customers,30,4,2094.09,4,3,2,9,0,0,0,0,0,3,1,4,4,No Tier,0.265
CUST00040,Dormant,214,1,634.73,1,1,1,3,1,33.9,0,0,0,1,0,1,1,No Tier,0.38
CUST00041,Discount Sensitive,114,4,1911.8600000000001,2,3,2,7,1,53,-1,0,0,4,2,6,3,Silver,0.3475
CUST00042,High Value Unhappy,45,10,7919.28,3,5,5,13,6,12,-0.455,2,0.2,7,2,9,5,Silver,0.22199999999999998
CUST00043,New Customers,11,2,705.3199999999999,5,1,1,7,0,0,0,0,0,0,0,0,2,Gold,0.365
CUST00044,Discount Sensitive,57,4,3409.6499999999996,3,3,4,10,1,46.7,-1,1,0,4,2,6,2,No Tier,0.3675
CUST00045,Discount Sensitive,156,1,413.75,2,1,1,4,0,0,0,0,0,3,1,4,1,No Tier,0.33
